x,y
14,0
14,-2
14,-15
14,-9
14,-1
14,-14
14,-10
15,-9
15,-10
15,-3
15,-7
15,-14
15,-21
15,-5
15,-23
15,-11
15,-15
15,-4
15,-13
15,-16
15,-6
15,-12
15,-2
15,-1
15,-17
15,-18
15,0
16,0
16,-6
16,-14
16,-18
16,-7
16,-16
16,-22
16,-24
16,-8
16,-11
16,-12
16,-9
16,-13
16,-17
16,-10
16,-23
16,-21
16,-1
16,-2
16,-20
16,-15
16,-3
16,-5
16,-4
16,-19
17,-11
17,-12
17,-23
17,-25
17,-9
17,-19
17,-10
17,0
17,-24
17,-26
17,-17
17,-15
17,-13
17,-2
17,-3
17,-32
17,-4
17,-6
17,-14
17,-5
17,-1
17,-7
17,-18
17,-21
17,-20
17,-8
17,-22
17,-28
17,-16
18,-21
18,-16
18,-15
18,-18
18,-12
18,-22
18,-14
18,-13
18,-20
18,-19
18,-26
18,-5
18,-1
18,-38
18,-2
18,-37
18,-36
18,-3
18,-34
18,-4
18,-33
18,-32
18,-23
18,-31
18,-6
18,-30
18,-7
18,-17
18,-27
18,-29
18,-25
18,-24
18,-9
18,-11
18,-10
18,-8
18,-28
19,-39
19,-36
19,-38
19,-18
19,-17
19,-24
19,-42
19,-49
19,-41
19,-28
19,-19
19,-35
19,-34
19,-25
19,-33
19,-26
19,-32
19,-27
19,-20
19,-31
19,-30
19,-21
19,-29
19,-22
19,-23
19,-37
19,-12
19,-15
19,-11
19,-14
19,-16
19,-13
19,-9
19,-10
20,-17
20,-39
20,-44
20,-35
20,-14
20,-25
20,-43
20,-21
20,-42
20,-13
20,-24
20,-22
20,-37
20,-41
20,-28
20,-40
20,-38
20,-36
20,-20
20,-34
20,-45
20,-49
20,-50
20,-29
20,-30
20,-48
20,-16
20,-18
20,-31
20,-27
20,-23
20,-46
20,-26
20,-15
20,-19
20,-32
20,-33
21,-38
21,-34
21,-33
21,-29
21,-37
21,-31
21,-35
21,-27
21,-49
21,-36
21,-32
21,-30
21,-24
21,-28
21,-47
21,-44
21,-23
21,-52
21,-46
21,-43
21,-51
21,-42
21,-55
21,-45
21,-41
21,-40
21,-48
21,-50
21,-39
22,-47
22,-45
22,-50
22,-51
22,-46
22,-48
22,-65
22,-30
22,-57
22,-53
22,-44
22,-34
22,-43
22,-54
22,-42
22,-35
22,-36
22,-55
22,-41
22,-40
22,-37
22,-58
22,-39
22,-38
22,-52
22,-56
22,-49
23,-39
23,-47
23,-61
23,-54
23,-63
23,-51
23,-36
23,-42
23,-46
23,-43
23,-62
23,-53
23,-45
23,-60
23,-44
23,-59
23,-50
23,-58
23,-37
23,-56
23,-65
23,-49
23,-40
23,-64
23,-38
23,-48
23,-57
23,-52
23,-55
23,-41
24,-52
24,-56
24,-60
24,-42
24,-69
24,-55
24,-58
24,-70
24,-59
24,-54
24,-71
24,-57
24,-53
24,-68
24,-44
24,-48
24,-61
24,-47
24,-65
24,-49
24,-66
24,-67
24,-50
24,-64
24,-45
24,-63
24,-51
24,-72
24,-46
24,-62
25,-72
25,-75
25,-66
25,-69
25,-57
25,-64
25,-55
25,-74
25,-65
25,-70
25,-54
25,-61
25,-58
25,-73
25,-56
25,-62
25,-71
25,-68
25,-60
25,-76
25,-59
25,-63
25,-51
25,-67
25,-77
26,-72
26,-79
26,-76
26,-77
26,-71
26,-70
26,-75
26,-78
26,-74
26,-73
26,-65
26,-80
26,-84
26,-85
26,-64
26,-66
26,-63
26,-83
26,-86
26,-62
26,-61
26,-67
26,-82
26,-68
26,-81
26,-60
26,-57
26,-69
27,-90
27,-82
27,-67
27,-70
27,-87
27,-76
27,-86
27,-88
27,-69
27,-83
27,-73
27,-84
27,-85
27,-75
27,-79
27,-80
27,-74
27,-91
27,-77
27,-72
27,-81
27,-78
27,-68
27,-71
27,-89
28,-81
28,-88
28,-90
28,-73
28,-85
28,-75
28,-93
28,-83
28,-78
28,-79
28,-69
28,-84
28,-70
28,-80
28,-92
28,-82
28,-74
28,-87
28,-77
28,-94
28,-89
28,-91
28,-86
28,-76
29,-77
29,-94
29,-83
29,-98
29,-81
29,-84
29,-86
29,-91
29,-88
29,-95
29,-89
29,-93
29,-90
29,-97
29,-85
29,-92
29,-96
29,-80
29,-87
29,-82
29,-74
29,-99
30,-90
30,-96
30,-92
30,-91
30,-94
30,-89
30,-88
30,-93
30,-97
30,-87
30,-86
30,-99
30,-85
30,-84
30,-83
30,-98
30,-100
30,-95
31,-93
31,-106
31,-107
31,-98
31,-108
31,-91
31,-111
31,-87
31,-92
31,-105
31,-103
31,-100
31,-95
31,-104
31,-101
31,-94
31,-96
31,-102
31,-97
31,-99
32,-104
32,-115
32,-96
32,-109
32,-110
32,-113
32,-112
32,-101
32,-108
32,-102
32,-111
32,-107
32,-99
32,-106
32,-103
32,-97
32,-105
32,-94
32,-98
32,-100
33,-116
33,-117
33,-114
33,-113
33,-112
33,-115
33,-118
33,-103
33,-104
33,-106
33,-102
33,-107
33,-108
33,-109
33,-110
33,-105
33,-111
33,-100
34,-116
34,-111
34,-126
34,-119
34,-110
34,-107
34,-124
34,-115
34,-109
34,-112
34,-120
34,-108
34,-114
34,-125
34,-117
34,-122
34,-121
34,-113
34,-123
34,-118
35,-123
35,-119
35,-120
35,-122
35,-118
35,-124
35,-125
35,-117
35,-113
35,-116
35,-121
35,-126
35,-115
35,-127
35,-114
36,-128
36,-127
36,-122
