id,current_date,future_date,current_price,future_price,rarity,Legendary,Artifact,Creature,Enchantment,Instant,Land,Planeswalker,Sorcery
00040b50-3b84-5cea-b663-70038b87fa08,2012-05-04,2012-07-06,0.62,0.32,Rare,0,0,1,0,0,0,0,0
00087aa5-4199-58ba-8e06-7acb796060cb,2017-04-28,2017-06-30,0.22,0.18,Uncommon,0,0,1,0,0,0,0,0
00146a3c-53c0-561c-ba57-0ebd9876eb57,2011-02-04,2011-04-08,1.3,1,Rare,0,1,1,0,0,0,0,0
001a3adc-7a1f-528e-9058-bf583e9d3729,2015-07-17,2015-09-18,0.25,0.15,Common,0,0,1,0,0,0,0,0
00205972-7dfb-5c93-8296-091af94d22f1,2015-03-27,2015-05-29,0.16,0.13,Common,0,0,1,0,0,0,0,0
002688ac-e3a4-5bc4-a612-8d0d91de9b75,2018-01-19,2018-03-23,0.15,0.17,Common,0,0,0,0,1,0,0,0
002ca814-c13f-50ae-a453-5d413b4d0fc4,2017-04-28,2017-06-30,0.24,0.15,Uncommon,0,0,0,0,1,0,0,0
002caf05-1da9-593c-a6c3-824817ff5208,2018-04-27,2018-06-29,8.4,4.74,Mythic,1,0,1,0,0,0,0,0
002e6438-65e7-5131-816d-c3eed3600123,2014-02-07,2014-04-11,0.23,0.15,Uncommon,0,0,0,1,0,0,0,0
002fcac9-6633-5bb0-bab0-57a920ce7d56,2017-01-20,2017-03-24,0.16,0.15,Common,0,0,1,0,0,0,0,0
00350343-bcd9-5a0c-972b-7c02f02926b1,2014-05-02,2014-07-04,0.25,0.15,Uncommon,0,0,0,0,1,0,0,0
004ea957-6268-5e4f-a3ae-491accf62761,2014-05-02,2014-07-04,0.14,0.12,Common,0,0,0,0,1,0,0,0
0052a6c6-4279-5c04-8d20-9c9893d2aa26,2017-09-29,2017-12-01,0.79,0.99,Rare,0,0,0,1,0,0,0,0
0056d6e4-cfd9-5b94-b36c-798ac3ce8899,2012-05-04,2012-07-06,0.88,0.78,Rare,0,0,0,1,0,0,0,0
005a975d-6519-5feb-817a-9b606684a171,2017-09-29,2017-12-01,0.22,0.2,Uncommon,0,0,1,0,0,0,0,0
005cc47d-3192-5b04-aac3-98e31b940824,2018-01-19,2018-03-23,0.25,0.2,Uncommon,0,0,0,0,1,0,0,0
005d8d50-4a03-5f9f-9ede-07b0255f3f5c,2018-04-27,2018-06-29,0.15,0.15,Common,0,0,1,0,0,0,0,0
006292e3-e1d5-5c19-b3dc-1cc0174a2380,2015-10-02,2015-12-04,0.9,0.74,Uncommon,0,0,0,1,0,0,0,0
0062a781-25c5-58d1-8b19-1690c15319e6,2015-01-23,2015-03-27,0.26,0.18,Uncommon,0,0,1,0,0,0,0,0
006fbd9e-aed0-5ccf-a62f-9a791e9c15a7,2017-01-20,2017-03-24,0.51,0.25,Rare,0,0,0,0,0,0,0,1
0075c27c-abdf-503e-9629-9d3080be5b15,2018-07-13,2018-09-14,2.08,1.48,Rare,1,0,1,0,0,0,0,0
007a46ff-49dc-58f2-8107-c225e3171585,2015-01-23,2015-03-27,0.23,0.17,Uncommon,0,0,0,0,0,0,0,1
